Value.ElapsedTime,Value.Time,Value.TimerShowed,Value.ToolData,Value.ToolEnded,Value.TrialID,Value.Type,Value.x,Value.y,Value.z
57189,2022-09-28 11:04:23 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
57189,2022-09-28 11:04:23 AM,,PegboardData,,,RightControllerPosition,-0.06387196481227875,-0.15526823699474335,0.3479209244251251
57273,2022-09-28 11:04:23 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
57273,2022-09-28 11:04:23 AM,,PegboardData,,,RightControllerPosition,-0.061525337398052216,-0.20206265151500702,0.34616732597351074
57357,2022-09-28 11:04:23 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
57357,2022-09-28 11:04:23 AM,,PegboardData,,,RightControllerPosition,-0.05668063089251518,-0.23698024451732635,0.3509768545627594
57427,2022-09-28 11:04:23 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
57427,2022-09-28 11:04:23 AM,,PegboardData,,,RightControllerPosition,-0.052560657262802124,-0.24632875621318817,0.3492019772529602
57510,2022-09-28 11:04:23 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
57510,2022-09-28 11:04:23 AM,,PegboardData,,,RightControllerPosition,-0.04960327595472336,-0.22689639031887054,0.3469649851322174
57594,2022-09-28 11:04:23 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
57594,2022-09-28 11:04:23 AM,,PegboardData,,,RightControllerPosition,-0.043771471828222275,-0.1962718963623047,0.3500581979751587
57677,2022-09-28 11:04:23 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
57677,2022-09-28 11:04:23 AM,,PegboardData,,,RightControllerPosition,-0.03837946429848671,-0.15906186401844025,0.35541871190071106
57761,2022-09-28 11:04:23 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
57761,2022-09-28 11:04:23 AM,,PegboardData,,,RightControllerPosition,-0.02992020733654499,-0.11669667810201645,0.36428743600845337
57844,2022-09-28 11:04:23 AM,,PegboardData,,,LeftControllerPosition,-0.8269222974777222,-0.37981894612312317,0.1173379048705101
